FISH_N,STRUCT_1_AGE_READER_1,STRUCT_1_AGE_READER_2,STRUCT_2_AGE_READER_1,STRUCT_2_AGE_READER_2,REAL_AGE,FINAL_AGE,YEAR_CLASS_FINAL_AGE,READER_1,READER_2,STRUCTURE,SECTION,MEASUREMENT_AXIS,PICTURE_ID1,PICTURE_ID2,PICTURE_ID3,F-E,F-A1,A1-A2,A2-A3,A3-A4,A4-A5,A5-A6,A6-A7,A7-A8,A8-A9,A9-A10,LA-E,CLEAR_ZONE,COMMENTS
ST.WTL.072413.GLN.002,1,1,,,,1,2012,EAB,KJJ,,,PROXIMAL EDGE VENTRAL OF SULCUS,W72413002,,,537.1,384.5,,,,,,,,,,152.6,,
ST.WTL.072413.GLN.003,1,1,,,,1,2012,KJJ,EAB,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,W72413003,,,491.8,341.7,,,,,,,,,,150.1,,
ST.WTL.072413.GLN.004,2,2,,,,2,2011,KJJ,EAB,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,W72413004,,,572.3,305.7,168.2,,,,,,,,,98.4,,
ST.WTL.072413.GLN.007,2,2,,,,2,2011,KJJ,EAB,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,W72413007,,,574.1,296.6,191.9,,,,,,,,,85.6,,
ST.WTL.072413.GLN.008,1,1,,,,1,2012,KJJ,EAB,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,W72413008,,,574.3,395.7,,,,,,,,,,178.6,,
ST.WTL.072808.GLN.001,3,3,,,,3,2005,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.001-100X,,,633.5734265,303.2821754,173.4501818,117.0475589,,,,,,,,39.79351043,,
ST.WTL.072808.GLN.002,1,1,,,,1,2007,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.002-100X,,,506.8631151,364.9602647,,,,,,,,,,141.9028504,,
ST.WTL.072808.GLN.003,2,2,,,,2,2006,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.003-100X,,,667.8897076,331.269731,250.1790117,,,,,,,,,86.44096493,,
ST.WTL.072808.GLN.004,1,1,,,,1,2007,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.004-100X,,,490.547476,335.9261519,,,,,,,,,,154.6213241,,
ST.WTL.072808.GLN.005,2,2,,,,2,2006,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.005-100X,,,647.8315773,343.0689839,235.3296814,,,,,,,,,69.43291205,,
ST.WTL.072808.GLN.006,1,1,,,,1,2007,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.006-100X,,,492.5682802,326.8655137,,,,,,,,,,165.7027665,,
ST.WTL.072808.GLN.007,2,2,,,,2,2006,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.072808.GLN.007-100X,,,577.3697447,360.3302987,172.5055644,,,,,,,,,44.53388171,,
ST.WTL.080309.GLN.006,1,1,,,,1,2008,Pat Kelly,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.080309.GLN.006-100X,,W0803G006 (2009 FISH BC MEAS),510.5078286,360.2957436,,,,,,,,,,150.212085,,
ST.WTL.080309.GLN.008,1,1,,,,1,2008,Pat Kelly,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.080309.GLN.008-100X,,W0803G008 (2009 FISH BC MEAS),644.3916275,402.0773457,,,,,,,,,,242.3142818,,
ST.WTL.080910.GLN.001,2,2,,,,2,2008,BEN KISSINGER,KURT JIRKA,OTOLITH,TRANSVERSE,TRANSVERSE,W0809G001,,,498.8060349,212.1818674,204.0571995,,,,,,,,,82.566968,,
ST.WTL.080910.GLN.005,1,1,,,,1,2009,BEN KISSINGER,KURT JIRKA,OTOLITH,TRANSVERSE,TRANSVERSE,W0809G005,,,515.1458349,324.4781598,,,,,,,,,,190.6676751,,
ST.WTL.080910.GLN.006,3,3,,,,3,2007,BEN KISSINGER,KURT JIRKA,OTOLITH,TRANSVERSE,TRANSVERSE,W0809G006,,,614.6842227,191.9349896,236.0293854,99.40961888,,,,,,,,87.31022882,,
ST.WTL.080910.GLN.007,4,4,,,,4,2006,BEN KISSINGER,KURT JIRKA,OTOLITH,TRANSVERSE,TRANSVERSE,W0809G007,,,824.571069,292.7961115,252.8915961,136.8536696,95.22544344,,,,,,,46.8042484,,
ST.WTL.082908.GLN.001,1,1,,,,1,2007,Justin Chiotti,Kurt Jirka,OTOLITH,TRANSVERSE,PROXIMAL EDGE VENTRAL OF SULCUS,ST.WTL.082908.GLN.001-100X,,,508.9047305,357.5380686,,,,,,,,,,151.3666618,,
