YSAMP,MTS_N,GROUP,ORDER (OR ABOVE),FAMILY,GENUS,SPECIES,LIFE STAGE,TOTAL_N,VOUCHER,ISOTOPE,NOTES,
SHS.REL.2023.003,OD.REL.2023.194,,Odonata,coenagrionidae,Enallagma,,larval,4,0,4,,
SHS.REL.2023.003,EP.REL.2023.195,,ephemeroptera,Heptageniidae,Stenacron,,larval,1,0,1,,
SHS.REL.2023.003,CO.REL.2023.196,,Coleoptera,Gyrinidae,,,larval,1,0,1,,
SHS.REL.2023.003,GA.REL.2023.197,,Gastropoda ,Lymnaeidae,Pseuduccinea,columella,,4,0,4,,
SHS.REL.2023.003,AM.REL.2023.198,,Amphipoda ,Talitridae,Hyalella,,adult,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.199,,Odonata,Lestidae,Lestes,,larval,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.200,,Odonata,coenagrionidae,Enallagma,,larval,2,0,2,,
DPN.REL.2023.002,GA.REL.2023.201,,Gastropoda ,Viviparidae,Viviparus,georgianus,adult,2,0,2,,
DPN.REL.2023.002,GA.REL.2023.202,,Gastropoda ,Lymnaeidae,Pseuduccinea,columella,adult,1,0,0,,
DPN.REL.2023.002,GA.REL.2023.203,,Gastropoda ,Viviparidae,Viviparus,georgianus,adult,1,0,1,,
DPN.REL.2023.002,EP.REL.2023.204,,ephemeroptera,Heptageniidae,Stenacron,,,3,0,3,,
DPN.REL.2023.002,EP.REL.2023.205,,ephemeroptera,Heptageniidae,Stenacron,,,2,0,2,,
DPN.REL.2023.002,CO.REL.2023.206,,Coleoptera,Hydraenidae,,,,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.207,,Odonata,coenagrionidae,Enallagma,,,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.208,,Odonata,coenagrionidae,Enallagma,,,1,0,1,,
DPN.REL.2023.002,GA.REL.2023.209,,Gastropoda ,Viviparidae,Viviparus,georgianus,adult,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.210,,Odonata,coenagrionidae,"Anomalagrion, Ischnura",,,1,0,1,,
DPN.REL.2023.002,OD.REL.2023.211,,Odonata,coenagrionidae,Enallagma,,,1,0,1,,
DPN.REL.2023.002,AM.REL.2023.212,,Amphipoda ,Talitridae,Hyalella,,,1,0,1,,
DPN.REL.2023.002,EP.REL.2023.213,,ephemeroptera,Baetidae,,,,1,0,1,,
DPN.REL.2023.002,GA.REL.2023.214,,Gastropoda ,Lymnaeidae,,,,4,0,4,,
SHS.UCL.2023.001,EP.UCL.2023.215,,ephemeroptera,Heptageniidae,Stenonema,,larval,1,0,1,,
SHS.UCL.2023.001,EP.UCL.2023.216,,ephemeroptera,Heptageniidae,Stenonema,,larval,1,0,1,,
SHS.UCL.2023.001,EP.UCL.2023.217,,ephemeroptera,Heptageniidae,Stenonema,,larval,1,0,1,,
SHS.UCL.2023.001,TR.UCL.2023.218,,trichoptera,Polycentropodidae,Polycentropus,,larval,1,0,1,,
SHS.UCL.2023.001,TR.UCL.2023.219,,trichoptera,Limnephilidae,,,larval,1,0,1,,
