ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
5,,,,,,,70,,30,100,7,,71,16,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312049,12.9,468,St. Lawrence,Childwold 
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232706,2.8,460,St. Lawrence,Childwold 
,,,,,,,1,,,94,,,38,6,273,,,41,,,,,,,4,,,,1,,,,,,,,,,,,,,,67,,,,,,,,,,,12210020,43.7,461,St. Lawrence,Childwold 
2,,,,,,,116,12,,143,,,128,6,24,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687006,41.3,462,St. Lawrence,Childwold 
92,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104281,4.5,466,St. Lawrence,Piercefield 
19,,,,,,,125,,,,,,35,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533397,3,463,St. Lawrence,Piercefield 
19,,,,,,,53,,,106,46,,98,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391000,5,466,St. Lawrence,Piercefield 
31,,,,,,,,,,1,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365943,1.3,463,St. Lawrence,Piercefield 
1,,,,,,,,,10,163,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175418,21.8,490,St. Lawrence,Piercefield 
7,,,,,,,,,26,30,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118530,5.4,539,St. Lawrence,Piercefield 
12,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129891,2.6,315,Oswegatchie,Harrisville 
,,,,4,,,2,,,,,,2,18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7635,0.4,235,Oswegatchie,Fine 
,,,,4,,,6,,,11,,,3,15,13,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306236,2.7,235,Oswegatchie,Fine 
,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,29762,0.8,321,Oswegatchie,Fine 
,,,,,,,9,7,2,90,,,14,15,,79,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3037665,6.9,262,Oswegatchie,Fine 
,,,,,,,,,,,,,19,57,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240401,1.7,241,Oswegatchie,South Edwards 
,,,,1,,,1,,,21,,,8,7,30,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989379,2.2,241,Oswegatchie,South Edwards 
1,,,,,,,46,,2,60,12,,67,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225813,4.9,331,Oswegatchie,Fine 
,,,,,,,5,,7,25,,,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30002,0.8,335,Oswegatchie,Fine 
2,,,,,,,72,2,4,55,2,,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140625,5,335,Oswegatchie,Fine 
,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3602,0.2,347,Oswegatchie,Fine 
,,,,,,,,,,,,,252,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192385,10.7,397,Oswegatchie,Fine
1,,,,,,,,,9,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56402,0.4,381,Oswegatchie,Fine 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,219251,5.4,424,Oswegatchie,Fine 
,,,,,,,,,,,,,232,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139431,6.7,424,Oswegatchie,Fine 
4,,,,,,,,28,6,25,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246830,4.3,315,Oswegatchie,Fine 
7,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131807,2.7,308,Oswegatchie,Harrisville
,,,,,,,13,,,2,1,,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82107,1.1,282,Oswegatchie,Harrisville 
,,,,,,,,,10,111,,,13,57,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,29024,3.7,302,Oswegatchie,Harrisville 
,8,,,,,,,,,,,,101,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464397,17,344,Oswegatchie,Oswegatchie SW 
,,,,,,,102,5,1,1,,,100,23,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,1,,,,,,3041,0.7,267,Oswegatchie,Harrisville 
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955968,4.4,346,Oswegatchie,Oswegatchie SW 
5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28789,3.1,378,Oswegatchie,Oswegatchie SW 
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76447,1.5,421,Oswegatchie,Oswegatchie SW 
4,,,,,,,94,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301025,11.6,409,Oswegatchie,Oswegatchie SW 
38,,,,,,,13,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409681,8.3,414,Oswegatchie,Oswegatchie SW 
,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382024,3.5,417,Oswegatchie,Stillwater 
,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159281,7.8,426,Oswegatchie,Oswegatchie SW 
,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47311,1.7,424,Oswegatchie,Oswegatchie SW 
11,,,,,,,,,43,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46159,8.2,414,Oswegatchie,Oswegatchie SW 
13,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5838,1.5,445,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,84258,3.8,488,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38865,7.1,558,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11367,1.5,533,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13390,1.1,594,Oswegatchie,Stillwater 
27,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261376,3,572,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70748,3.3,582,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,81244,9.6,594,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,191271,3.2,607,Oswegatchie,Stillwater 
,,,,,,,,,14,41,42,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10125,1.3,539,Oswegatchie,Stillwater 
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93829,9.1,546,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,580188,11.9,549,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34289,5.3,576,Oswegatchie,Oswegatchie SE 
28,,,,,,,,,,5,1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471441,10.5,547,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200048,6.4,590,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22299,3.3,591,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,112946,6.7,594,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2308702,9.6,623,Oswegatchie,Stillwater
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,317651,6.5,636,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,233615,13.4,600,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,288833,19.4,605,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,122402,4,607,Oswegatchie,Stillwater 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,129688,3.3,617,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25936,1.6,617,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,420657,3.1,631,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27699,4,602,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,124391,5.6,622,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18635,1.2,622,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46107,3.2,620,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13378,2.4,613,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1187568,6.5,630,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1227,0.4,625,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3235,0.7,632,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21716,1.9,634,Oswegatchie,Beaver River 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,820968,5.2,636,Oswegatchie,Beaver River 
,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33720,2.2,411,Oswegatchie,Stillwater 
,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298314,1.7,413,Oswegatchie,Stillwater 
8,,,,,,,40,,,32,1,,32,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,297871,36.5,390,Oswegatchie,Remington Corners 
10,,,,,,,224,,1,14,,,101,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,996150,13.6,409,Oswegatchie,Stillwater 
2,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372083,2.5,410,Oswegatchie,Stillwater 
13,,,,,,,694,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159536,1,417,Oswegatchie,Stillwater 
11,,,,,,,246,,,24,,,35,28,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,331210,3,411,Oswegatchie,Stillwater 
15,,,,,,,552,,,21,,,27,106,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,801422,4.2,413,Oswegatchie,Stillwater 
,,,,,,,1,,1,47,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107519,7.2,419,Oswegatchie,Oswegatchie SW 
,,,,,,,,,21,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13102,2.2,442,Oswegatchie,Oswegatchie SW 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5576,1,434,Oswegatchie,Oswegatchie SW 
,,,,,,,23,,,25,,,22,142,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,5640438,12.4,411,Oswegatchie,Stillwater 
,,,,,,,25,,,8,,,26,26,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,762059,5.6,411,Oswegatchie,Stillwater 
2,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24882,2.6,466,Oswegatchie,Oswegatchie SW 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,151727,4.3,495,Oswegatchie,Stillwater 
16,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76694,3.2,547,Oswegatchie,Stillwater 
,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47523,2,561,Oswegatchie,Stillwater 
,,,,,,,1,,1,25,,,3,31,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281541,3.1,298,Oswegatchie,South Edwards 
,,,,,,,,4,,13,,,,2,,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43328,2.5,229,Oswegatchie,South Edwards 
,,,,1,,,3,,1,62,,,26,11,17,46,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956611,10.1,257,Oswegatchie,South Edwards 
,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27334,0.5,302,Oswegatchie,Fine 
,,,,4,,,5,,,,,,5,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209922,2.2,307,Oswegatchie,Degrasse 
,,,,,,,,,,67,,,51,4,167,48,3,43,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4042120,26.3,323,Oswegatchie,Oswegatchie 
2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,664237,6.1,413,Oswegatchie,Oswegatchie 
3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,233250,1.6,417,Oswegatchie,Oswegatchie 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5009,0.8,424,Oswegatchie,Oswegatchie 
,2,,,,,,,2,,89,,,22,13,13,141,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288762,20.9,441,Oswegatchie,Oswegatchie 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8563,0.1,433,Oswegatchie,Oswegatchie 
6,,,,,,,3,11,14,104,2,,132,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824899,12,453,Oswegatchie,Oswegatchie SE 
,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17986,1.5,454,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29588,3,481,Oswegatchie,Oswegatchie SE 
2,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,10777,0.8,454,Oswegatchie,Oswegatchie SE 
2,,,,,,,,,3,,,,15,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,43158,3.7,454,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27511,3.4,474,Oswegatchie,Oswegatchie SE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,203321,2.6,453,Oswegatchie,Oswegatchie SE 
1,,,,,,,59,5,6,65,,,33,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68833,9.7,427,Oswegatchie,Newton Falls
,,,,,,,345,,,24,,,85,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90197,1.9,449,Oswegatchie,Newton Falls 
1,,,,,,,72,,,98,,,80,37,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630613,54.6,439,Oswegatchie,Newton Falls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18990,1,447,Oswegatchie,Newton Falls 
,,,,,,,22,,,37,,,45,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165821,9.9,441,Oswegatchie,Newton Falls 
,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381,0.6,454,Oswegatchie,Newton Falls 
,,,,,,,87,,2,,2,,85,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29285,4.2,456,Oswegatchie,Newton Falls 
,,,,,,,52,,2,,14,,45,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104283,9.6,457,Oswegatchie,Newton Falls 
,,,,5,,,1,,,9,,,122,8,37,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4184576,4.2,433,Oswegatchie,Newton Falls 
,,,,7,,,2,,,71,,,65,,64,41,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3417615,15.1,410,Oswegatchie,Oswegatchie 
,,,,22,,,5,,,2,,,5,14,,38,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348132,13.9,434,Oswegatchie,Newton Falls 
,,,,10,,,6,,,1,,,5,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288939,43.7,436,Oswegatchie,Newton Falls
,,,,,,,5,,,3,,,9,8,,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282054,5.7,454,Oswegatchie,Oswegatchie
1,,,,,,,1,,,,2,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37424,9.2,450,Oswegatchie,Newton Falls 
,,,,,,,,,,3,,,9,2,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266130,2,437,Oswegatchie,Newton Falls 
,5,,,,,,62,,,6,,,5,11,,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313841,18.8,460,Oswegatchie,Tooley Pond 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26225,2.4,456,Oswegatchie,Cranberry Lake 
,,,,3,,,1,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210118,2.6,456,Oswegatchie,Cranberry Lake 
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11492,0.6,485,Oswegatchie,Piercefield 
,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29776,3.3,485,Oswegatchie,Piercefield 
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223982,3.5,559,Oswegatchie,Cranberry Lake 
6,,,,,,,,,67,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4420,0.6,488,Oswegatchie,Cranberry Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50521,5.3,565,Oswegatchie,Piercefield 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49853,4.2,558,Oswegatchie,Piercefield 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,260125,3.7,546,Oswegatchie,Piercefield 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14852,2.4,556,Oswegatchie,Piercefield 
7,,,,,,,113,,45,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208281,2.8,524,Oswegatchie,Wolf Mtn. 
3,,,,,,,156,,9,29,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371823,5.6,518,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36537,1.5,533,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11558,1.8,539,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20389,2.6,649,Oswegatchie,Cranberry Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4952,0.8,558,Oswegatchie,Wolf Mtn. 
8,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429082,4.5,576,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15659,2.2,569,Oswegatchie,Wolf Mtn. 
21,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,635020,2.4,607,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21863,1.7,655,Oswegatchie,Little Tupper Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,63692,4.2,525,Oswegatchie,Cranberry Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46835,1.5,553,Oswegatchie,Wolf Mtn.
19,,,,,,,,,10,3,4,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427563,4.1,530,Oswegatchie,Wolf Mtn. 
14,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340923,18.5,515,Oswegatchie,Wolf Mtn. 
1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235843,5.3,526,Oswegatchie,Wolf Mtn. 
,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256177,5.2,534,Oswegatchie,Wolf Mtn.
,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5706,1.4,536,Oswegatchie,Five Ponds 
27,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48677,2.3,503,Oswegatchie,Cranberry Lake 
,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28915,2.4,521,Oswegatchie,Cranberry Lake 
4,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57334,1.6,521,Oswegatchie,Cranberry Lake 
1,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410025,2.5,521,Oswegatchie,Wolf Mtn. 
,,,,,,,5,,,,,,1,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32799,2.8,456,Oswegatchie,Newton Falls 
,,,,,,,3,,1,19,,,41,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238840,15.2,485,Oswegatchie,Five Ponds 
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109322,2.3,539,Oswegatchie,Five Ponds 
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459506,10.9,553,Oswegatchie,Oswegatchie SE 
11,,,,,,,,,25,22,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20268,2.7,510,Oswegatchie,Five Ponds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24360,1.6,515,Oswegatchie,Five Ponds 
10,,,,,,,394,,71,29,11,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18332,2.5,512,Oswegatchie,Five Ponds 
14,,,,,,,,,1,,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14201,2,527,Oswegatchie,Five Ponds 
